LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C191023,1N5819WS,Guangdong Hottech,,SOD-323,Diode 40V 1A Surface Mount SOD-323,YES,50,0.0111,0.56,,,
C424093,MCP73831T-2ACI/OT,MICROCHIP,,SOT-23-5,3.75V~6V Lithium Battery 1 550mA SOT-23-5 Battery Chargers ICs RoHS,YES,10,0.5988,5.99,,,
C7433013,DY-5173URD/SN-A3(EL)(HF),TONYU,,DIP,Red 631nm LED Indication - Discrete 1.8V~2.4V DIP,YES,10,0.0545,0.55,,,
C478087,MCP1640BT-I/CHY,MICROCHIP,,SOT-23-6,500kHz Boost Adjustable 2V~5.5V 350mA SOT-23-6 Voltage Regulators - DC DC Switching Regulators RoHS,YES,10,0.6572,6.57,,,
C42400252,HYCW498-USBC16-735B,HOAUC,,SMD,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",YES,10,0.0481,0.48,,,
C1779,CL21A475KAQNNNE,Samsung Electro-Mechanics,,805,4.7uF ±10% 25V Ceramic Capacitor X5R 0805,YES,20,0.0137,0.27,,,
C18185759,TCC0805X5R106M250FT,CCTC,,805,10uF ±20% 25V Ceramic Capacitor X5R 0805,YES,50,0.0145,0.73,,,
C114862,LQM18PN4R7MFRL,muRata,,603,620mA 4.7uH ±20% 550mΩ Multilayer inductor 0603 Fixed Inductors RoHS,YES,10,0.0781,0.78,,,
C110775,RT0805BRD0710KL,YAGEO,,805,125mW 10kΩ 150V Thin Film Resistor ±25ppm/℃ ±0.1% 0805 Chip Resistor - Surface Mount RoHS,YES,20,0.0336,0.67,,,
C104545,RTT058873FTP,RALEC,,805,887kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0021,0.21,,,
C410005,ERJ6ENF3093V,PANASONIC,,805,125mW 309kΩ Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,50,0.0087,0.44,,,
C131051,RC0805JR-0747KL,YAGEO,,805,125mW 47kΩ 150V Thick Film Resistor ±100ppm/℃ ±5% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0025,0.25,,,
C2907329,FRC0805J471 TS,FOJAN,,805,470Ω ±5% 125mW 0805 Thick Film Resistor,YES,100,0.0016,0.16,,,
C27834,0805W8F5101T5E,UNI-ROYAL,,805,5.1kΩ ±1% 125mW 0805 Thick Film Resistor,YES,100,0.0027,0.27,,,
,,,,,,,,,,,,
JLCPCB,PCB,,,,,,,,5.48,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Parts Total,28.97,,,,,
,,,,,,PCB Total ,5.48,,,,,
,,,,,,Total: ,34.45,,,,,
